ts,src,dst,sport,dport,len,flags,window,seq,ack,flow
1769651435.756893,172.172.30.192,20.42.73.25,64691,443,74,A,517,2118475442,1232571644,172.172.30.192:64691 -> 20.42.73.25:443
1769651435.756998,172.172.30.192,20.42.73.25,64691,443,74,A,516,2118475442,1232571933,172.172.30.192:64691 -> 20.42.73.25:443
1769651435.817591,20.42.73.25,172.172.30.192,443,64690,594,A,16383,598937176,2645353843,20.42.73.25:443 -> 172.172.30.192:64690
1769651435.817741,172.172.30.192,20.42.73.25,64690,443,66,A,517,2645353843,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.818289,172.172.30.192,20.42.73.25,64690,443,128,PA,517,2645353843,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.818612,172.172.30.192,20.42.73.25,64691,443,54,FA,516,2118475442,1232571933,172.172.30.192:64691 -> 20.42.73.25:443
1769651435.818757,172.172.30.192,20.42.73.25,64690,443,146,PA,517,2645353917,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.81909,172.172.30.192,20.42.73.25,64690,443,545,PA,517,2645354009,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.819282,172.172.30.192,20.42.73.25,64690,443,172,PA,517,2645354500,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.81944,172.172.30.192,20.42.73.25,64690,443,2502,PA,517,2645354618,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651435.819593,172.172.30.192,20.42.73.25,64690,443,2527,PA,517,2645357066,598938719,172.172.30.192:64690 -> 20.42.73.25:443
1769651436.008165,20.42.73.25,172.172.30.192,443,64691,594,A,16383,1232571933,2118475442,20.42.73.25:443 -> 172.172.30.192:64691
1769651436.008165,20.42.73.25,172.172.30.192,443,64691,594,A,16383,1232572469,2118475442,20.42.73.25:443 -> 172.172.30.192:64691
1769651436.008328,172.172.30.192,20.42.73.25,64691,443,54,RA,0,2118475443,1232572469,172.172.30.192:64691 -> 20.42.73.25:443
1769651436.064072,20.42.73.25,172.172.30.192,443,64690,161,PA,16386,598938719,2645353917,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.064072,20.42.73.25,172.172.30.192,443,64690,120,PA,16386,598938822,2645353917,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.064186,172.172.30.192,20.42.73.25,64690,443,54,A,516,2645359539,598938884,172.172.30.192:64690 -> 20.42.73.25:443
1769651436.064429,172.172.30.192,20.42.73.25,64690,443,85,PA,516,2645359539,598938884,172.172.30.192:64690 -> 20.42.73.25:443
1769651436.067561,20.42.73.25,172.172.30.192,443,64690,64,A,16386,598938884,2645354618,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.067561,20.42.73.25,172.172.30.192,443,64690,89,PA,16386,598938884,2645356058,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.067561,20.42.73.25,172.172.30.192,443,64690,64,A,16386,598938915,2645357066,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.067561,20.42.73.25,172.172.30.192,443,64690,64,A,16386,598938915,2645359539,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.073609,172.172.30.192,157.240.199.17,63296,443,86,PA,511,1250993260,609011384,172.172.30.192:63296 -> 157.240.199.17:443
1769651436.10731,157.240.199.17,172.172.30.192,443,63296,64,A,311,609011384,1250993292,157.240.199.17:443 -> 172.172.30.192:63296
1769651436.10731,20.42.73.25,172.172.30.192,443,64691,64,A,16383,1232573005,2118475443,20.42.73.25:443 -> 172.172.30.192:64691
1769651436.119455,172.172.30.192,20.42.73.25,64690,443,54,A,516,2645359570,598938915,172.172.30.192:64690 -> 20.42.73.25:443
1769651436.267729,157.240.199.17,172.172.30.192,443,63296,86,PA,311,609011384,1250993292,157.240.199.17:443 -> 172.172.30.192:63296
1769651436.310379,20.42.73.25,172.172.30.192,443,64690,438,PA,16385,598938915,2645359570,20.42.73.25:443 -> 172.172.30.192:64690
1769651436.321663,172.172.30.192,157.240.199.17,63296,443,54,A,511,1250993292,609011412,172.172.30.192:63296 -> 157.240.199.17:443
1769651436.352831,172.172.30.192,20.42.73.25,64690,443,54,A,515,2645359570,598939295,172.172.30.192:64690 -> 20.42.73.25:443
1769651437.264716,172.172.30.192,162.159.133.234,61933,443,172,PA,510,1286406785,1613836490,172.172.30.192:61933 -> 162.159.133.234:443
1769651437.437208,162.159.133.234,172.172.30.192,443,61933,64,A,19,1613836490,1286406903,162.159.133.234:443 -> 172.172.30.192:61933
1769651437.649022,162.159.133.234,172.172.30.192,443,61933,92,PA,19,1613836490,1286406903,162.159.133.234:443 -> 172.172.30.192:61933
1769651437.69744,172.172.30.192,162.159.133.234,61933,443,54,A,510,1286406903,1613836524,172.172.30.192:61933 -> 162.159.133.234:443
1769651437.886836,162.159.133.234,172.172.30.192,443,61933,230,PA,19,1613836524,1286406903,162.159.133.234:443 -> 172.172.30.192:61933
1769651437.930041,172.172.30.192,162.159.133.234,61933,443,54,A,509,1286406903,1613836696,172.172.30.192:61933 -> 162.159.133.234:443
1769651440.654659,20.42.73.25,172.172.30.192,443,64694,594,A,16383,356965334,2611935475,20.42.73.25:443 -> 172.172.30.192:64694
1769651440.654909,172.172.30.192,20.42.73.25,64694,443,74,A,515,2611935475,356965870,172.172.30.192:64694 -> 20.42.73.25:443
1769651440.789912,172.172.30.192,8.8.4.4,64695,53,66,S,64240,2917689651,0,172.172.30.192:64695 -> 8.8.4.4:53
1769651440.790316,172.172.30.192,8.8.4.4,64696,53,66,S,64240,1080942618,0,172.172.30.192:64696 -> 8.8.4.4:53
1769651440.809699,172.172.30.192,8.8.4.4,64697,53,66,S,64240,3385081015,0,172.172.30.192:64697 -> 8.8.4.4:53
1769651440.810357,172.172.30.192,8.8.4.4,64698,53,66,S,64240,2029413559,0,172.172.30.192:64698 -> 8.8.4.4:53
1769651440.843019,8.8.4.4,172.172.30.192,53,64695,70,SA,65535,2764038647,2917689652,8.8.4.4:53 -> 172.172.30.192:64695
1769651440.843019,8.8.4.4,172.172.30.192,53,64698,70,SA,65535,433150059,2029413560,8.8.4.4:53 -> 172.172.30.192:64698
